,id,Star_Name,Distance_x,Mass_x,Radius_x,Luminosity,Star_name,Distance_y,Mass_y,Radius_y,Solar_Mass,Solar_Radius
53,53,Tau Ceti,011.9,0.783,0.893,0.52,2MASS J04390101-2353083 [de],29.5,48.0,0.97,0.045820224,0.09968010999999999
54,54,Delta Pavonis,019.92,0.991,1.22,1.22,2MASS J04414489+2301513,470.0,19.0,,0.018137172,
55,55,Ran,010.48,0.82,0.74,0.34,2MASS J04433764+0002040,82.0,22.0,1.78,0.021000936,0.18291813999999998
56,56,V382 Carinae,"08,900",20,485,"212,000",2MASS J04455387-3048204 [de],42.0,64.0,1.0,0.061093632,0.102763
57,57,Eta Carinae,"07,500",100,60 - 881,"5,000,000",2MASS J04510093-3402150 [de],69.0,72.0,1.04,0.068730336,0.10687352
58,58,Delta Cephei,0887,4.5,44.5,"2,000",2MASS J05002100+0330501 [de],44.0,64.0,1.0,0.061093632,0.102763
59,59,Mu Cephei,"06,000",19.2,972,"135,000",2MASS J05012406-0010452 [de],64.0,21.0,1.38,0.020046348000000002,0.14181293999999997
60,60,Titawin,044.25,1.27,1.48,3.57,2MASS J05160945-0445499 [de],73.0,47.0,0.97,0.044865636,0.09968010999999999
61,61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",2MASS J0523−1403,40.0,68.0,1.01,0.064911984,0.10379063
62,62,P Cygni,"05,545",30,76,"610,000",2MASS 0532+8246,81.0,83.0,,0.079230804,
63,63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",SDSS J053951.99-005902.0,41.62,61.0,1.01,0.058229868000000004,0.10379063
64,64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",2MASS J05591914-1404488 [de],34.0,,,,
65,65,61 Cygni,011.41,0.7,0.665,0.153,LSR 0602+3910 [de],34.6,28.0,1.41,0.026728464,0.14489582999999998
66,66,R Doradus,0178,0.7 - 1.0,298,"4,350",2MASS J06085283-2753583,102.0,38.0,1.51,0.036274344,0.15517213
67,67,Polaris Australis,0281,1.59,3.74,38,WISEP J061135.13-041024.0A,69.0,65.0,,0.06204822,
68,68,R Coronae Borealis,"04,566",0.85,85,"10,000",WISEP J061135.13-041024.0B,69.0,53.0,,0.050593164,
69,69,54 Piscium,036.1,0.76,0.94,0.52,2MASS J06244595-4521548 [de],39.0,56.0,0.99,0.053456928,0.10173536999999999
70,70,Mira,0300,1.2,370,"9,000",2MASS J06411840-4322329 [de],65.0,67.0,1.01,0.063957396,0.10379063
71,71,RW Cephei,"014,000",13.9,"1,158","417,000",DENIS-P J0652197-253450 [de],51.0,75.0,1.05,0.07159410000000001,0.10790115
72,72,Lacaille 8760,012.87,0.6,0.51,0.072,2MASS J07003664+3157266 [de],40.0,,,,
73,73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",2MASS J07075327-4900503,60.0,72.0,1.03,0.068730336,0.10584589
74,74,HD 140283,0202,0.81,2.04,4.82,UGPS J072227.51-054031.2,13.4,26.0,0.98,0.024819288000000002,0.10070773999999999
75,75,II Pegasi,0130,0.8,3.4,1.06,2MASSI J0727182+171001 [de],29.6,41.0,0.94,0.039138108,0.09659721999999998
76,76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",2MASS J07290002-3954043 [de],25.8,37.0,0.94,0.035319756,0.09659721999999998
77,77,Pistol Star,"025,000",100,320,"1,700,000",SDSS J074201.41+205520.5 [de],49.0,43.0,0.94,0.041047284,0.09659721999999998
78,78,S Doradus,"0169,000",24,380,"910,000",2MASS J0746425+200032 [fr],49.6,,,,
79,79,UY Scuti,"05,100",7 - 10,755,"86,300 - 87,100",DENIS-P J0751164-253043 [de],55.0,71.0,1.03,0.067775748,0.10584589
80,80,Barnard's Star,05.98,0.14,0.20,0.0035,2MASS J07522390+1612157,60.0,68.0,2.01,0.064911984,0.20655362999999996
81,81,HE 1523-0901,"010,000",0.80,27,730,DENIS J081730.0-615520,16.1,44.0,0.94,0.042001872,0.09659721999999998
82,82,Proxima Centauri,04.25,0.12,0.15,0.0017,DENIS J082303.1−491201A,67.0,44.0,,0.042001872,
83,83,KIC 8462852,"01,470",1.43,1.58,4.68,DENIS J082303.1−491201B,67.0,28.0,,0.026728464,
84,84,R136a1,"0163,000",290,32,"8,710,000",2MASS J08251968+2115521 [de],35.0,52.0,0.98,0.049638576000000004,0.10070773999999999
85,85,Melnick 42,"0163,000",189,21.1,"3,600,000",SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99,0.045820224,0.10173536999999999
86,86,WR 102,"018,134",19,0.39,"282,000",LHS 2021,55.0,88.0,1.15,0.084003744,0.11817744999999999
87,87,VFTS 352,"0164,000",57.48,14.47,"330,000",SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,0.043911048,0.09865247999999999
88,88,YBP 1194,"02,772",1.01,0.99,0.98,2MASSI J0835425-081923 [de],23.53,62.0,1.0,0.059184456,0.102763
89,89,Gliese 1214,047.5,0.16,0.21,0.0033,2MASSI J0847287-153237 [de],43.0,64.0,1.0,0.061093632,0.102763
90,90,Luhman 16,06.50,0.03 + 0.03,?,?,2MASS J08533619-0329321,27.6,77.0,1.07,0.073503276,0.10995641
91,91,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",2MASSI J0859254-194926 [de],50.0,50.0,0.98,0.0477294,0.10070773999999999
92,92,VB 10,018.72,0.075,0.10,0.0004,2MASSW J0920122+351742 [de],95.0,,,,
93,93,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",2MASSI J0937347+293142,20.0,42.0,0.94,0.040092696000000004,0.09659721999999998
94,94,TRAPPIST-1,039.6,0.089,0.12,0.0005,2MASS 0939−2448,17.4,32.0,0.95,0.030546816,0.09762484999999999
95,95,2MASS J0523-1403,040.3,0.07,0.086,0.00013,2MASS J09490860-1545485 [de],59.0,49.0,0.96,0.046774812,0.09865247999999999
96,96,WISE 0855−0714,07.27,0.003,?,?,2MASS J10073369-4555147,46.0,44.0,0.94,0.042001872,0.09659721999999998
97,97,Icarus,"014,400,000,000",33,?,"850,000",2MASSI J1010148-040649 [de],55.0,51.0,0.98,0.048683988000000004,0.10070773999999999
